,NAME,K,A,D,DIFF,ADR,KDR,KAST,S,T,FA,1VSX,MK,FK,RP,GAME_ID,GAME_DATE
0,mgl,17,3,16,+1,113.90,1.06,0.62,5,0,1,0,4,1,-11,15578886,04/04/2022 19:36
1,Guedes11,15,4,17,-2,101.90,0.88,0.52,3,2,0,0,4,4,-12,15578886,04/04/2022 19:36
2,Ceguinhu,17,0,16,+1,89.76,1.06,0.57,4,1,0,0,4,2,-12,15578886,04/04/2022 19:36
3,twitch.tv/markindoclutch,5,3,15,-10,41.76,0.33,0.57,5,4,1,0,0,0,-14,15578886,04/04/2022 19:36
4,dud0k4,6,4,19,-13,49.29,0.32,0.52,2,4,0,0,1,0,-15,15578886,04/04/2022 19:36
5,rebores,18,3,11,+7,91.90,1.64,0.81,9,1,0,2,5,3,+19,15578886,04/04/2022 19:36
6,urielton,19,6,10,+9,133.14,1.90,0.76,9,0,5,1,6,3,+15,15578886,04/04/2022 19:36
7,italia,19,1,13,+6,112.90,1.46,0.76,8,4,0,0,4,2,+15,15578886,04/04/2022 19:36
8,Anabele de Malhadas,19,4,13,+6,124.90,1.46,0.76,8,3,0,0,6,5,+14,15578886,04/04/2022 19:36
9,Puff,8,3,13,-5,47.33,0.62,0.81,8,5,1,0,0,1,+12,15578886,04/04/2022 19:36
10,GA GA GA,23,5,23,0,117.36,1.00,0.71,3,4,1,1,6,4,-8,15579719,04/04/2022 20:23
11,Masqetose,19,7,18,+1,100.86,1.06,0.71,7,3,2,1,4,0,-9,15579719,04/04/2022 20:23
12,ache,24,1,19,+5,91.39,1.26,0.64,9,1,0,0,6,1,-11,15579719,04/04/2022 20:23
13,Marlboro.-,16,3,22,-6,87.11,0.73,0.57,6,2,0,0,4,4,-18,15579719,04/04/2022 20:23
14,ABRAHAM,15,2,23,-8,65.93,0.65,0.54,5,2,0,0,4,1,-20,15579719,04/04/2022 20:23
15,Anabele de Malhadas,26,7,19,+7,116.25,1.37,0.82,7,7,2,1,8,5,+18,15579719,04/04/2022 20:23
16,Puff,19,5,18,+1,100.57,1.06,0.71,8,4,2,1,5,4,+17,15579719,04/04/2022 20:23
17,rebores,23,3,15,+8,86.86,1.53,0.71,12,1,0,0,5,1,+16,15579719,04/04/2022 20:23
18,italia,17,3,23,-6,81.39,0.74,0.79,5,8,0,0,4,2,+14,15579719,04/04/2022 20:23
19,urielton,20,3,22,-2,86.07,0.91,0.64,4,3,3,2,5,6,+13,15579719,04/04/2022 20:23
20,zic0nha,20,1,19,+1,94.17,1.05,0.71,4,3,0,1,5,2,-7,15580886,04/04/2022 21:23
21,CruuDiii,18,1,18,0,106.21,1.00,0.67,4,2,0,1,4,1,-10,15580886,04/04/2022 21:23
22,ox1#,11,2,22,-11,61.92,0.50,0.58,2,4,0,0,2,1,-13,15580886,04/04/2022 21:23
23,Farinh4,8,3,18,-10,52.75,0.44,0.58,2,6,1,0,2,1,-14,15580886,04/04/2022 21:23
24,m4lB£cc,10,2,21,-11,75.21,0.48,0.42,3,0,0,0,2,2,-16,15580886,04/04/2022 21:23
25,rebores,23,2,9,+14,96.67,2.56,0.88,13,0,0,1,7,1,+18,15580886,04/04/2022 21:23
26,Anabele de Malhadas,23,7,18,+5,128.75,1.28,0.83,5,5,0,1,6,4,+15,15580886,04/04/2022 21:23
27,italia,19,6,17,+2,101.96,1.12,0.79,7,5,0,0,4,6,+14,15580886,04/04/2022 21:23
28,urielton,23,5,14,+9,129.13,1.64,0.88,10,2,2,0,8,5,+12,15580886,04/04/2022 21:23
29,Puff,10,4,9,+1,61.00,1.11,0.83,15,2,4,0,3,1,+12,15580886,04/04/2022 21:23
30,Anabele de Malhadas,21,7,19,+2,99.79,1.11,0.79,9,4,2,1,4,3,-9,15646815,11/04/2022 19:50
31,urielton,25,3,18,+7,100.93,1.39,0.76,11,4,1,0,6,3,-10,15646815,11/04/2022 19:50
32,Puff,15,2,16,-1,68.48,0.94,0.76,9,5,0,0,4,2,-14,15646815,11/04/2022 19:50
33,rebores,14,1,23,-9,72.97,0.61,0.55,6,3,0,0,3,2,-17,15646815,11/04/2022 19:50
34,bemol,17,3,21,-4,69.38,0.81,0.66,7,2,0,0,2,3,-17,15646815,11/04/2022 19:50
35,Johnny Cash =D,30,1,17,+13,126.52,1.76,0.72,11,3,0,1,9,6,+23,15646815,11/04/2022 19:50
36,Bzt1,21,5,19,+2,91.69,1.11,0.76,10,2,1,0,5,3,+14,15646815,11/04/2022 19:50
37,Banco Imobiliário,18,2,20,-2,76.66,0.90,0.66,9,5,1,0,4,3,+14,15646815,11/04/2022 19:50
38,ban! fURTHER;,14,5,19,-5,81.10,0.74,0.62,10,2,1,0,2,2,+14,15646815,11/04/2022 19:50
39,-willzerA,14,2,17,-3,64.83,0.82,0.72,11,2,0,0,3,2,+13,15646815,11/04/2022 19:50
40,urielton,27,2,21,+6,111.78,1.29,0.7,6,2,2,1,8,7,-10,15648303,11/04/2022 21:09
41,rebores,12,7,20,-8,71.67,0.60,0.74,7,4,1,0,2,0,-12,15648303,11/04/2022 21:09
42,Anabele de Malhadas,15,5,24,-9,81.56,0.63,0.67,2,5,0,1,3,4,-14,15648303,11/04/2022 21:09
43,bemol,13,2,20,-7,57.93,0.65,0.63,6,2,0,0,1,2,-17,15648303,11/04/2022 21:09
44,Puff,11,2,20,-9,56.81,0.55,0.52,7,4,0,0,3,0,-21,15648303,11/04/2022 21:09
45,bHg_,35,3,12,+23,154.44,2.92,0.7,14,0,0,0,11,5,+23,15648303,11/04/2022 21:09
46,TravisscortT 1v5,16,5,16,0,78.85,1.00,0.74,10,4,4,0,4,0,+17,15648303,11/04/2022 21:09
47,ChickLittle,17,10,16,+1,89.41,1.06,0.85,10,2,0,0,3,2,+16,15648303,11/04/2022 21:09
48,1997,20,0,16,+4,82.63,1.25,0.7,10,2,0,0,6,5,+15,15648303,11/04/2022 21:09
49,NTC Larky,17,3,18,-1,89.44,0.94,0.74,9,5,0,0,4,2,+15,15648303,11/04/2022 21:09
