,result,map,score,pct_win,CT,game_id,game_url,team_score,foe_score,score_diff,GAME_DATE
0,V,inferno,16x05,49.72%,CT[P],15578886,https://gamersclub.com.br/lobby/match/15578886,16,5,11,04/04/2022 19:36
10,V,overpass,16x12,48.89%,CT[P],15579719,https://gamersclub.com.br/lobby/match/15579719,16,12,4,04/04/2022 20:23
20,V,mirage,16x08,51.40%,CT[P],15580886,https://gamersclub.com.br/lobby/match/15580886,16,8,8,04/04/2022 21:23
30,D,inferno,13x16,48.26%,CT[P],15646815,https://gamersclub.com.br/lobby/match/15646815,13,16,-3,11/04/2022 19:50
40,D,overpass,11x16,55.52%,CT[P],15648303,https://gamersclub.com.br/lobby/match/15648303,11,16,-5,11/04/2022 21:09
50,V,inferno,19x17,48.81%,CT[P],15729917,https://gamersclub.com.br/lobby/match/15729917,19,17,2,19/04/2022 18:34
60,D,mirage,00x16,47.1%,CT[P],15730813,https://gamersclub.com.br/lobby/match/15730813,0,16,-16,19/04/2022 19:45
70,D,nuke,02x16,48.24%,CT[P],15731441,https://gamersclub.com.br/lobby/match/15731441,2,16,-14,19/04/2022 20:24
80,V,overpass,16x09,54.4%,CT[P],15732060,https://gamersclub.com.br/lobby/match/15732060,16,9,7,19/04/2022 20:58
90,D,dust 2,14x16,49.32%,CT[P],15733088,https://gamersclub.com.br/lobby/match/15733088,14,16,-2,19/04/2022 21:52
100,D,inferno,11x16,00.00%,CT[P],15751280,https://gamersclub.com.br/lobby/match/15751280,11,16,-5,21/04/2022 17:07
110,D,mirage,09x16,00.00%,CT[P],15752075,https://gamersclub.com.br/lobby/match/15752075,9,16,-7,21/04/2022 18:04
120,D,inferno,12x16,00.00%,CT[P],15792684,https://gamersclub.com.br/lobby/match/15792684,12,16,-4,25/04/2022 19:07
130,V,mirage,16x03,00.00%,CT[P],15793463,https://gamersclub.com.br/lobby/match/15793463,16,3,13,25/04/2022 20:00
140,V,overpass,16x09,48.68%,CT[P],15794550,https://gamersclub.com.br/lobby/match/15794550,16,9,7,25/04/2022 21:04
150,V,inferno,19x16,52.5%,CT[P],15820209,https://gamersclub.com.br/lobby/match/15820209,19,16,3,28/04/2022 19:42
160,V,mirage,16x07,51.42%,12x03[1],14571474,https://gamersclub.com.br/lobby/match/14571474,16,7,9,05/01/2022 19:01
